time,open,high,low,close,tick_volume,spread,real_volume
2024-08-05 03:00:00,2440.92,2440.96,2413.82,2422.07,14749,33,0
2024-08-05 04:00:00,2422.04,2441.85,2420.07,2439.41,15989,33,0
2024-08-05 05:00:00,2439.35,2446.03,2433.05,2442.73,10616,33,0
2024-08-05 06:00:00,2442.72,2452.48,2442.6,2450.91,10120,5,0
2024-08-05 07:00:00,2450.95,2458.65,2450.81,2452.61,10430,33,0
2024-08-05 08:00:00,2452.55,2452.56,2432.43,2437.86,13858,33,0
2024-08-05 09:00:00,2437.86,2438.64,2422.11,2428.54,16562,33,0
2024-08-05 10:00:00,2428.5,2445.44,2424.56,2431.88,14770,33,0
2024-08-05 11:00:00,2431.89,2434.38,2423.25,2424.92,12512,33,0
2024-08-05 12:00:00,2425.01,2428.65,2419.08,2424.08,13580,33,0
2024-08-05 13:00:00,2424.07,2425.53,2407.99,2408.39,12885,33,0
2024-08-05 14:00:00,2408.44,2408.44,2383.18,2386.66,16259,33,0
2024-08-05 15:00:00,2386.61,2392.16,2364.06,2374.41,18391,33,0
2024-08-05 16:00:00,2374.46,2396.93,2374.46,2392.94,19139,33,0
2024-08-05 17:00:00,2392.74,2397.37,2386.86,2396.66,18771,5,0
2024-08-05 18:00:00,2396.53,2412.13,2396.39,2402.68,17693,5,0
2024-08-05 19:00:00,2402.68,2408.7,2398.96,2402.94,15047,5,0
2024-08-05 20:00:00,2402.92,2406.52,2400.14,2404.89,13537,5,0
2024-08-05 21:00:00,2404.9,2408.74,2403.68,2404.89,10250,6,0
2024-08-05 22:00:00,2404.91,2412.91,2404.52,2407.55,9847,5,0
2024-08-05 23:00:00,2407.56,2411.57,2405.32,2409.96,5219,6,0
2024-08-06 01:00:00,2410.23,2412.49,2407.89,2408.86,3445,5,0
2024-08-06 02:00:00,2408.86,2409.92,2404.32,2404.72,5593,5,0
2024-08-06 03:00:00,2404.74,2418.23,2404.49,2415.83,11621,33,0
2024-08-06 04:00:00,2415.82,2417.66,2410.59,2412.35,13545,33,0
2024-08-06 05:00:00,2412.34,2413.11,2405.83,2407.36,10406,33,0
2024-08-06 06:00:00,2407.4,2410.99,2406.46,2408.9,8261,5,0
2024-08-06 07:00:00,2408.91,2412.51,2406.4,2407.95,7747,33,0
2024-08-06 08:00:00,2407.95,2411.77,2398.05,2398.62,12165,33,0
2024-08-06 09:00:00,2398.63,2408.21,2394.75,2401.53,15168,33,0
2024-08-06 10:00:00,2401.52,2410.54,2401.44,2409.79,12286,33,0
2024-08-06 11:00:00,2409.8,2415.34,2408.08,2410.97,10765,33,0
2024-08-06 12:00:00,2411.01,2415.43,2410.2,2413.25,10170,33,0
2024-08-06 13:00:00,2413.24,2416.21,2411.51,2412.3,9090,33,0
2024-08-06 14:00:00,2412.3,2415.19,2410.07,2410.81,9201,5,0
2024-08-06 15:00:00,2410.83,2412.17,2391.7,2392.86,14873,33,0
2024-08-06 16:00:00,2392.91,2399.42,2388.71,2395.6,17371,8,0
2024-08-06 17:00:00,2395.6,2403.03,2386.27,2388.27,17830,33,0
2024-08-06 18:00:00,2388.28,2390.94,2381.48,2387.49,15712,5,0
2024-08-06 19:00:00,2387.49,2391.34,2385.6,2389.91,10973,33,0
2024-08-06 20:00:00,2389.9,2393.36,2387.55,2391.8,10386,5,0
2024-08-06 21:00:00,2391.81,2395.87,2391.25,2392.77,7700,5,0
2024-08-06 22:00:00,2392.78,2392.93,2386.37,2387.56,9463,5,0
2024-08-06 23:00:00,2387.56,2390.11,2386.83,2389.85,4978,5,0
2024-08-07 01:00:00,2391.58,2391.99,2387.92,2388.67,2850,5,0
2024-08-07 02:00:00,2388.67,2389.57,2382.78,2383.76,3989,5,0
2024-08-07 03:00:00,2383.74,2387.28,2381.01,2386.38,7977,33,0
2024-08-07 04:00:00,2386.45,2387.45,2378.94,2383.98,14307,33,0
2024-08-07 05:00:00,2384.0,2388.39,2380.77,2384.15,12553,33,0
2024-08-07 06:00:00,2384.2,2387.44,2383.12,2385.8,8700,33,0
2024-08-07 07:00:00,2385.81,2394.68,2385.58,2392.7,6877,5,0
2024-08-07 08:00:00,2392.68,2396.04,2388.53,2391.33,10086,33,0
2024-08-07 09:00:00,2391.37,2397.5,2389.5,2394.65,10003,33,0
2024-08-07 10:00:00,2394.62,2394.82,2387.94,2389.28,10024,33,0
2024-08-07 11:00:00,2389.24,2393.64,2388.26,2393.24,8469,5,0
2024-08-07 12:00:00,2393.24,2396.28,2392.34,2394.21,7413,33,0
2024-08-07 13:00:00,2394.22,2398.02,2393.01,2397.41,6635,33,0
2024-08-07 14:00:00,2397.34,2402.25,2394.15,2400.93,7876,33,0
2024-08-07 15:00:00,2400.98,2406.9,2398.89,2403.74,10950,33,0
2024-08-07 16:00:00,2403.75,2404.71,2396.95,2399.96,13817,33,0
2024-08-07 17:00:00,2399.9,2403.29,2397.85,2398.93,14057,33,0
2024-08-07 18:00:00,2399.0,2401.63,2391.91,2394.42,12609,33,0
2024-08-07 19:00:00,2394.42,2399.64,2392.74,2399.64,8847,33,0
2024-08-07 20:00:00,2399.59,2399.6,2389.41,2389.73,10512,33,0
2024-08-07 21:00:00,2389.75,2391.64,2383.74,2386.13,11089,33,0
2024-08-07 22:00:00,2386.15,2390.39,2385.26,2385.53,7838,5,0
2024-08-07 23:00:00,2385.54,2387.25,2381.72,2383.06,3875,5,0
2024-08-08 01:00:00,2381.01,2384.27,2380.95,2383.6,3316,5,0
2024-08-08 02:00:00,2383.61,2385.79,2382.69,2384.77,5478,33,0
2024-08-08 03:00:00,2384.75,2388.72,2383.17,2385.47,8551,33,0
2024-08-08 04:00:00,2385.47,2391.28,2384.94,2386.76,13538,33,0
2024-08-08 05:00:00,2386.75,2390.73,2386.18,2390.35,9589,33,0
2024-08-08 06:00:00,2390.35,2394.63,2388.58,2394.25,7759,33,0
